City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
160,Asyut,EG,27.181,31.1837,89.78,16,4,4.27,2021-08-01 22:54:25,clear sky
161,Dwarka,IN,22.2394,68.9678,81.18,83,100,22.59,2021-08-01 22:54:25,overcast clouds
162,Dunedin,NZ,-45.8742,170.5036,49.8,78,98,18.01,2021-08-01 22:54:26,overcast clouds
163,Wanganui,NZ,-39.9333,175.05,55.74,78,83,4.0,2021-08-01 22:54:26,broken clouds
164,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,68,75,20.71,2021-08-01 22:54:27,broken clouds
165,Faya,SA,18.3851,42.4509,66.31,68,98,3.62,2021-08-01 22:54:27,overcast clouds
166,Ilulissat,GL,69.2167,-51.1,50.65,60,1,9.33,2021-08-01 22:54:28,clear sky
167,Yerbogachen,RU,61.2767,108.0108,62.26,62,100,5.64,2021-08-01 22:54:28,overcast clouds
168,Fioletovo,AM,40.7224,44.7177,58.3,92,84,1.54,2021-08-01 22:54:29,broken clouds
169,Keuruu,FI,62.2667,24.7,60.98,97,49,3.2,2021-08-01 22:54:29,scattered clouds
170,Berlevag,NO,70.8578,29.0864,45.88,94,100,18.7,2021-08-01 22:54:29,light rain
171,Naze,JP,28.3667,129.4833,81.52,86,91,13.87,2021-08-01 22:54:30,overcast clouds
172,Cayenne,GF,4.9333,-52.3333,83.08,78,0,1.99,2021-08-01 22:54:31,clear sky
173,Ahipara,NZ,-35.1667,173.1667,56.97,73,69,9.6,2021-08-01 22:52:43,broken clouds
174,Thompson,CA,55.7435,-97.8558,84.36,30,20,4.61,2021-08-01 22:54:31,smoke
175,Uvira,CD,-3.4067,29.1458,74.03,67,66,1.41,2021-08-01 22:54:32,broken clouds
176,Nelson Bay,AU,-32.7167,152.15,57.76,80,87,9.55,2021-08-01 22:54:32,overcast clouds
177,Hobyo,SO,5.3505,48.5268,77.14,79,7,22.48,2021-08-01 22:54:33,clear sky
178,Maniitsoq,GL,65.4167,-52.9,47.21,80,15,5.93,2021-08-01 22:54:33,few clouds
179,Mahanje,TZ,-9.9333,35.3333,60.78,58,78,1.34,2021-08-01 22:54:33,broken clouds
180,Lufilufi,WS,-13.8745,-171.5986,80.38,82,92,22.48,2021-08-01 22:54:34,light rain
181,Leon,MX,21.1167,-101.6667,82.15,50,49,8.37,2021-08-01 22:54:16,scattered clouds
182,Doume,CM,4.2333,13.45,68.2,98,99,2.26,2021-08-01 22:54:35,light rain
183,Yulara,AU,-25.2406,130.9889,48.04,53,0,5.75,2021-08-01 22:54:35,clear sky
184,Narsaq,GL,60.9167,-46.05,50.74,77,100,4.72,2021-08-01 22:54:35,light rain
185,Saint Anthony,US,45.0205,-93.218,80.82,38,6,5.01,2021-08-01 22:54:36,clear sky
186,Skjervoy,NO,70.0311,20.9714,47.79,70,75,5.3,2021-08-01 22:51:26,broken clouds
187,Te Anau,NZ,-45.4167,167.7167,45.88,89,99,1.61,2021-08-01 22:50:06,light rain
188,Noyabrsk,RU,63.1994,75.4507,57.6,68,100,10.45,2021-08-01 22:54:37,overcast clouds
189,Wewak,PG,-3.5534,143.6268,79.54,84,19,6.17,2021-08-01 22:54:38,few clouds
190,Fortuna,US,40.5982,-124.1573,70.93,70,40,3.0,2021-08-01 22:54:38,scattered clouds
191,Harper,LR,4.375,-7.7169,76.55,77,87,6.26,2021-08-01 22:54:38,overcast clouds
192,Umm Lajj,SA,25.0213,37.2685,86.9,48,5,4.29,2021-08-01 22:54:39,clear sky
193,Marzuq,YE,14.4,46.4667,81.79,52,97,4.29,2021-08-01 22:54:39,overcast clouds
194,Provideniya,RU,64.3833,-173.3,42.91,75,90,15.66,2021-08-01 22:51:39,overcast clouds
195,Inirida,CO,3.8653,-67.9239,72.57,97,58,2.66,2021-08-01 22:54:40,broken clouds
196,Flinders,AU,-34.5833,150.8552,51.8,92,7,3.13,2021-08-01 22:54:40,clear sky
197,Kaeo,NZ,-35.1,173.7833,63.32,78,36,10.09,2021-08-01 22:54:41,scattered clouds
198,Liverpool,GB,53.4106,-2.9779,60.3,73,90,5.75,2021-08-01 22:49:59,overcast clouds
199,Rawson,AR,-43.3002,-65.1023,57.96,36,24,9.98,2021-08-01 22:53:02,few clouds
200,Sabratah,LY,32.7933,12.4885,91.83,28,1,9.95,2021-08-01 22:54:42,clear sky
201,Port Alfred,ZA,-33.5906,26.891,61.25,82,46,25.37,2021-08-01 22:54:42,scattered clouds
202,Hofn,IS,64.2539,-15.2082,53.65,95,99,3.27,2021-08-01 22:54:43,overcast clouds
203,Pringsewu,ID,-5.3582,104.9744,72.0,97,41,1.01,2021-08-01 22:54:43,scattered clouds
